method,method2,x,y,radius,true_disc,min_dist
Starnet + BLiP,BLiP (q=0.05),0.3990499973297119,0.15209592878818512,0.011404948309063911,1,
Starnet + BLiP,BLiP (q=0.05),0.11796862632036209,0.16307099163532257,0.007289760746061802,1,
Starnet + BLiP,BLiP (q=0.05),0.38603392243385315,0.18152976036071777,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.07704475522041321,0.19359205663204193,0.0015540808672085404,1,
Starnet + BLiP,BLiP (q=0.05),0.36300408840179443,0.202101930975914,0.0024215986486524343,1,
Starnet + BLiP,BLiP (q=0.05),0.36630699038505554,0.2216605395078659,0.01414213515818119,1,
Starnet + BLiP,BLiP (q=0.05),0.759949803352356,0.032473720610141754,0.0037612062878906727,1,
Starnet + BLiP,BLiP (q=0.05),0.10236378014087677,0.05225763097405434,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.3765234053134918,0.1295837014913559,0.0019372788956388831,1,
Starnet + BLiP,BLiP (q=0.05),0.9501696228981018,0.04769741743803024,0.0019372788956388831,1,
Starnet + BLiP,BLiP (q=0.05),0.6769999265670776,0.0557369738817215,0.007289760746061802,1,
Starnet + BLiP,BLiP (q=0.05),0.48572251200675964,0.07352936267852783,0.011404948309063911,1,
Starnet + BLiP,BLiP (q=0.05),0.9325886964797974,0.0735720545053482,0.0019372788956388831,1,
Starnet + BLiP,BLiP (q=0.05),0.8813610672950745,0.07784026861190796,0.005843857768923044,1,
Starnet + BLiP,BLiP (q=0.05),0.8012048006057739,0.08119425177574158,0.0037612062878906727,0,
Starnet + BLiP,BLiP (q=0.05),0.5192356705665588,0.08448447287082672,0.0024215986486524343,0,
Starnet + BLiP,BLiP (q=0.05),0.6279411315917969,0.08835401386022568,0.0030218239407986403,1,
Starnet + BLiP,BLiP (q=0.05),0.8902819752693176,0.09146887809038162,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.5335947275161743,0.09386702626943588,0.005843857768923044,1,
Starnet + BLiP,BLiP (q=0.05),0.7428914904594421,0.09516215324401855,0.005843857768923044,1,
Starnet + BLiP,BLiP (q=0.05),0.4957425594329834,0.09695405513048172,0.011404948309063911,1,
Starnet + BLiP,BLiP (q=0.05),0.790059506893158,0.0981939285993576,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.6397346258163452,0.09845557063817978,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.596974790096283,0.1131160706281662,0.005843857768923044,1,
Starnet + BLiP,BLiP (q=0.05),0.7373145222663879,0.1132122129201889,0.004682826343923807,1,
Starnet + BLiP,BLiP (q=0.05),0.9459071159362793,0.11681874841451645,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.7675790786743164,0.13335886597633362,0.0008017083746381104,1,
Starnet + BLiP,BLiP (q=0.05),0.867066502571106,0.13826167583465576,0.009065471589565277,1,
Starnet + BLiP,BLiP (q=0.05),0.45585623383522034,0.1396959275007248,0.01414213515818119,1,
Starnet + BLiP,BLiP (q=0.05),0.9298607707023621,0.1424558460712433,0.0019372788956388831,1,
Starnet + BLiP,BLiP (q=0.05),0.6441632509231567,0.14348383247852325,0.0019372788956388831,0,
Starnet + BLiP,BLiP (q=0.05),0.48662763833999634,0.14972855150699615,0.011404948309063911,1,
